part_number,official_pin,rev,slash,gauge_awg,color_code,color_name,specification,insulation,insulation_detail,wall,plating,conductor,conductor_material,stranding,conductor_od_in,wire_od_in,insulation_wall_in,weight_lb_per_kft,resistance_ohm_per_kft,temperature_c,voltage_v,m27500_symbol,datasheet,path
M22759_11-16-0,M22759/11-16-0,1,11,16,0,black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-0/M22759_11-16-0-rev1
M22759_11-16-1,M22759/11-16-1,1,11,16,1,brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-1/M22759_11-16-1-rev1
M22759_11-16-2,M22759/11-16-2,1,11,16,2,red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-2/M22759_11-16-2-rev1
M22759_11-16-3,M22759/11-16-3,1,11,16,3,orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-3/M22759_11-16-3-rev1
M22759_11-16-4,M22759/11-16-4,1,11,16,4,yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-4/M22759_11-16-4-rev1
M22759_11-16-5,M22759/11-16-5,1,11,16,5,green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-5/M22759_11-16-5-rev1
M22759_11-16-6,M22759/11-16-6,1,11,16,6,blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-6/M22759_11-16-6-rev1
M22759_11-16-7,M22759/11-16-7,1,11,16,7,violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-7/M22759_11-16-7-rev1
M22759_11-16-8,M22759/11-16-8,1,11,16,8,gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-8/M22759_11-16-8-rev1
M22759_11-16-9,M22759/11-16-9,1,11,16,9,white,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x29,0.0535,0.075,0.0107,10.0,4.52,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-16-9/M22759_11-16-9-rev1
